Country,Adjectivals,Demonyms
Abkhazia,Abkhaz,Abkhazians
Abkhazia,Abkhazian,Abkhazians
Afghanistan,Afghan,Afghans
Albania,Albanian,Albanians
Algeria,Algerian,Algerians
American Samoa,American Samoan,American Samoans
Andorra,Andorran,Andorrans
Angola,Angolan,Angolans
Anguilla,Anguillan,Anguillans
Antarctica,Antarctic,Antarctic residents
Antigua and Barbuda,Antiguan,Antiguans
Antigua and Barbuda,Barbudan,Barbudans
Argentina,Argentine,Argentines
Argentina,Argentinian,Argentinians
Armenia,Armenian,Armenians
Aruba,Aruban,Arubans
Australia,Australian,Australians
Austria,Austrian,Austrians
Azerbaijan,Azerbaijani,Azerbaijanis
Azerbaijan,Azeri,Azeris
The Bahamas,Bahamian,Bahamians
Bahrain,Bahraini,Bahrainis
Bangladesh,Bangladeshi,Bangladeshis
Barbados,Barbadian,Barbadians
Belarus,Belarusian,Belarusians
Belgium,Belgian,Belgians
Flandres,Flemish,Flemish
Walloon,Walloon French,Walloon
Belize,Belizean,Belizeans
Benin,Beninese,Beninese
Benin,Beninois,Beninois
Bermuda,Bermudian,Bermudians
Bermuda,Bermudan,Bermudans
Bhutan,Bhutanese,Bhutanese
Bolivia,Bolivian,Bolivians
Bonaire,Bonaire,Bonaire Dutch
Bonaire,Bonairean,Dutch
Bosnia and Herzegovina,Bosnian,Bosnians
Bosnia and Herzegovina,Herzegovinian,Herzegovinians
Botswana,Botswana,Motswana
Botswana,Botswana,Batswana
Bouvet Island,Bouvet Island,Bouvet Islanders
Brazil,Brazilian,Brazilians
British Indian Ocean Territory,BIOT,British
Brunei,Bruneian,Bruneians
Bulgaria,Bulgarian,Bulgarians
Burkina Faso,Burkinab‚,BurkinabŠ
Burkina Faso,Burkinab‚,Burkinab‚
Burundi,Burundian,Burundians
Burundi,Burundian,Barundi
Cabo Verde,Cabo Verdean,Cabo Verdeans
Cambodia,Cambodian,Cambodians
Cameroon,Cameroonian,Cameroonians
Canada,Canadian,Canadians
Cayman Islands,Caymanian,Caymanians
Central African Republic,Central African,Central Africans
Chad,Chadian,Chadians
Chile,Chilean,Chileans
China,Chinese,Chinese
Christmas Island,Christmas Island,Christmas Islanders
Cocos Islands,Cocos Island,Cocos Islanders
Colombia,Colombian,Colombians
Comoros,Comoran,Comorans
Comoros,Comorian,Comorians
Democratic Republic of the Congo,Congolese,Congolese
Republic of the Congo,Congolese,Congolese
Cook Islands,Cook Island,Cook Islanders
Costa Rica,Costa Rican,Costa Ricans
Croatia,Croatian,Croatians
Croatia,Croatian,Croats
Cuba,Cuban,Cubans
Curaçao,Curaçaoan,Curaçaoans
Cyprus,Cypriot,Cypriots
Czech Republic,Czech,Czechs
Denmark,Danish,Danes
Djibouti,Djiboutian,Djiboutians
Dominica,Dominican,Dominicans
Dominican Republic,Dominican,Dominicans
East Timor,Timorese,Timorese
Ecuador,Ecuadorian,Ecuadorians
Egypt,Egyptian,Egyptians
El Salvador,Salvadoran,Salvadorans
El Salvador,Salvadoran,Salvadorians
El Salvador,Salvadoran,Salvadoreans
England,English,English
England,English,Englishmen
England,English,Englishwomen
Equatorial Guinea,Equatorial Guinean,Equatorial Guineans
Equatorial Guinea,Equatoguinean,Equatoguineans
Eritrea,Eritrean,Eritreans
Estonia,Estonian,Estonians
Eswatini,Swazi,Swazis
Eswatini,Swati,Swazis
Ethiopia,Ethiopian,Ethiopians
Ethiopia,Ethiopian,Habesha
European Union,European,Europeans
Falkland Islands,Falkland Island,Falkland Islanders
Faroe Islands,Faroese,Faroese
Fiji,Fijian,Fijians
Finland,Finnish,Finns
France,French,French
France,French,Frenchmen and Frenchwomen
French Guiana,French Guianese,French Guianese
French Polynesia,French Polynesian,French Polynesians
French Southern Territories,French Southern Territories,French
Gabon,Gabonese,Gabonese
The Gambia,Gambian,Gambians
Georgia,Georgian,Georgians
Germany,German,Germans
Ghana,Ghanaian,Ghanaians
Gibraltar,Gibraltar,Gibraltarians
Greece,Greek,Greeks
Greece,Hellenic,Hellenes
Greenland,Greenland,Greenlanders
Grenada,Grenadian,Grenadians
Guadeloupe,Guadeloupe,Guadeloupians
Guadeloupe,Guadeloupe,Guadeloupeans
Guam,Guamanian,Guamanians
Guatemala,Guatemalan,Guatemalans
Guernsey,Guernsey,Guernseymen and Guernseywomen
Guinea,Guinean,Guineans
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans
Guyana,Guyanese,Guyanese
Haiti,Haitian,Haitians
Heard Island and McDonald Islands,Heard Island,Heard Islanders
Heard Island and McDonald Islands,McDonald Island,McDonald Islanders
Honduras,Honduran,Hondurans
Hong Kong,Hong Kong,Hongkongers
Hong Kong,Cantonese,Hong Kongese
Hong Kong,Hong Konger,Hong Kongese
Hungary,Hungarian,Hungarians
Hungary,Magyar,Magyars
Iceland,Icelandic,Icelanders
India,Indian,Indians
Indonesia,Indonesian,Indonesians
Iran,Iranian,Iranians
Iran,Persian,Persians
Iraq,Iraqi,Iraqis
Ireland,Irish,Irish
Ireland,Irish,Irishmen
Ireland,Irish,Irishwomen
Isle of Man,Manx,Manx
Isle of Man,Manx,Manxmen
Isle of Man,Manx,Manxwomen
Israel,Israeli,Israelis
Israel,Israelite,Israelis
Italy,Italian,Italians
Ivory Coast,Ivorian,Ivorians
Jamaica,Jamaican,Jamaicans
Jan Mayen,Jan Mayen,Jan Mayen residents
Japan,Japanese,Japanese
Jersey,Jersey,Jerseymen and Jerseywomen
Jersey,Jersey,Jersian
Jersey,Jersey,Jèrriais
Jordan,Jordanian,Jordanians
Kazakhstan,Kazakhstani,Kazakhstanis
Kazakhstan,Kazakh,Kazakhs
Kenya,Kenyan,Kenyans
Kiribati,Kiribati,I-Kiribati
North Korea,North Korean,Koreans
North Korea,North Korean,North Koreans
South Korea,South Korean,Koreans
South Korea,South Korean,South Koreans
Kosovo,Kosovar,Kosovars
Kosovo,Kosovan,Kosovars
Kuwait,Kuwaiti,Kuwaitis
Kyrgyzstan,Kyrgyzstani,Kyrgyzstanis
Kyrgyzstan,Kyrgyz,Kyrgyz
Kyrgyzstan,Kirgiz,Kirgiz
Kyrgyzstan,Kirghiz,Kirghiz
Laos,Lao,Laos
Laos,Laotian,Laotians
Latvia,Latvian,Latvians
Latvia,Lettish,Letts
Lebanon,Lebanese,Lebanese
Lesotho,Basotho,Mosotho
Lesotho,Basotho,Basotho
Liberia,Liberian,Liberians
Libya,Libyan,Libyans
Liechtenstein,Liechtensteiner,Liechtensteiners
Lithuania,Lithuanian,Lithuanians
Luxembourg,Luxembourg,Luxembourgers
Luxembourg,Luxembourgish,Luxembourgers
Macau,Macanese,Macanese
Macau,Macanese,Macanese
Madagascar,Madagascan,Madagascans
Madagascar,Malagasy,Malagasy
Malawi,Malawian,Malawians
Malaysia,Malaysian,Malaysians
Maldives,Maldivian,Maldivians
Mali,Malian,Malians
Mali,Malinese,Malians
Malta,Maltese,Maltese
Marshall Islands,Marshallese,Marshallese
Martinique,Martiniquais,Martiniquais
Martinique,Martinican,Martiniquaises
Mauritania,Mauritanian,Mauritanians
Mauritius,Mauritian,Mauritians
Mayotte,Mahoran,Mahorans
Mexico,Mexican,Mexicans
Micronesia,Micronesian,Micronesians
Moldova,Moldovan,Moldovans
Monaco,Mon‚gasque,Mon‚gasques
Monaco,Monacan,Monacans
Mongolia,Mongolian,Mongolians
Mongolia,Mongolian,Mongols
Montenegro,Montenegrin,Montenegrins
Montserrat,Montserratian,Montserratians
Morocco,Moroccan,Moroccans
Mozambique,Mozambican,Mozambicans
Myanmar,Myanma,Myanmar
Burma,Burmese,Myanmar
Namibia,Namibian,Namibians
Nauru,Nauruan,Nauruans
Nepal,Nepali,Nepalis
Nepal,Nepalese,Nepalese
Netherlands,Dutch,Dutch
Netherlands,Dutch,Dutchwomen
Netherlands,Dutch,Dutchmen
New Caledonia,New Caledonian,New Caledonians
New Zealand,New Zealand,New Zealanders
Nicaragua,Nicaraguan,Nicaraguans
Niger,Nigerien,Nigeriens
Nigeria,Nigerian,Nigerians
Niue,Niuean,Niueans
Norfolk Island,Norfolk Island,Norfolk Islanders
North Macedonia,Macedonian,Macedonians
Northern Ireland,Northern Irish,Northern Irish
Northern Ireland,Northern Irish,Northern Irishmen and Northern Irishwomen
Northern Mariana Islands,Northern Marianan,Northern Marianans
Norway,Norwegian,Norwegians
Oman,Omani,Omanis
Pakistan,Pakistani,Pakistanis
Palau,Palauan,Palauans
Palestine,Palestinian,Palestinians
Panama,Panamanian,Panamanians
Papua New Guinea,Papua New Guinean,Papua New Guineans
Papua New Guinea,Papuan,Papuans
Paraguay,Paraguayan,Paraguayans
Peru,Peruvian,Peruvians
Philippines,Filipino,Filipinos
Philippines,Philippine,Filipinas
Pitcairn Islands,Pitcairn Island,Pitcairn Islanders
Poland,Polish,Poles
Portugal,Portuguese,Portuguese
Puerto Rico,Puerto Rican,Puerto Ricans
Qatar,Qatari,Qataris
Réunion,Réunionese,Réunionese
Réunion,Réunionnais,Réunionnais
Romania,Romanian,Romanians
Russia,Russian,Russians
Rwanda,Rwandan,Rwandans
Rwanda,Rwandan,Banyarwanda
Saba,Saban,Saba Dutch
Saint Barthélemy,Barthélemois,Barthélemois
Saint Barthélemy,Barthélemois,Barthélemoises
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenians
Saint Kitts and Nevis,Kittitian,Kittitians
Saint Kitts and Nevis,Nevisian,Nevisians
Saint Lucia,Saint Lucian,Saint Lucians
Saint Martin,Saint-Martinoise,Saint-Martinois
Saint Martin,Saint-Martinoise,Saint-Martinoises
Saint Pierre and Miquelon,Saint-Pierrais,Saint-Pierrais
Saint Pierre and Miquelon,Miquelonnais,Saint-Pierraises
Saint Pierre and Miquelon,Miquelonnais,Miquelonnais
Saint Pierre and Miquelon,Miquelonnais,Miquelonnaises
Saint Vincent and the Grenadines,Saint Vincentian,Saint Vincentians
Saint Vincent and the Grenadines,Vincentian,Vincentians
Sahrawi,Sahrawi,Sahrawis
Western Sahara,Western Saharan,Western Saharans
Sahrawi,Sahrawian,Western Saharans
Samoa,Samoan,Samoans
San Marino,Sammarinese,Sammarinese
Sao Tome and Principe,Sao Tomean,Sao Tomeans
São Tomé and Príncipe,São Toméan,São Toméans
Saudi Arabia,Saudi,Saudis
Saudi Arabia,Saudi Arabian,Saudi Arabians
Scotland,Scottish,Scots
Scotland,Scottish,Scotsmen and Scotswomen
Senegal,Senegalese,Senegalese
Serbia,Serbian,Serbs
Serbia,Serbian,Serbians
Seychelles,Seychellois,Seychellois/Seychelloises
Sierra Leone,Sierra Leonean,Sierra Leoneans
Singapore,Singapore,Singaporeans
Singapore,Singaporean,Singaporeans
Sint Eustatius,Sint Eustatius,Statians
Sint Eustatius,Statian,Statians
Sint Maarten,Sint Maarten,Sint Maarteners
Slovakia,Slovak,Slovaks
Slovakia,Slovak,Slovakians
Slovenia,Slovenian,Slovenes
Slovenia,Slovene,Slovenians
Solomon Islands,Solomon Island,Solomon Islanders
Somalia,Somali,Somalis
Somaliland,Somalilander,Somalilanders
South Africa,South African,South Africans
South Georgia and the South Sandwich Islands,South Georgia Island,South Georgia Islanders
South Georgia and the South Sandwich Islands,South Sandwich Island,South Sandwich Islanders
South Ossetia,South Ossetian,South Ossetians
South Sudan,South Sudanese,South Sudanese
Spain,Spanish,Spaniards
Sri Lanka,Sri Lankan,Sri Lankans
Sudan,Sudanese,Sudanese
Suriname,Surinamese,Surinamers
Svalbard,Svalbard,Svalbard residents
Sweden,Swedish,Swedes
Switzerland,Swiss,Swiss
Syria,Syrian,Syrians
Taiwan,Taiwanese,Taiwanese
Taiwan,Formosan,Formosans
Tajikistan,Tajikistani,Tajikistanis
Tajikistan,Tajik,Tajiks
Tanzania,Tanzanian,Tanzanians
Thailand,Thai,Thai
Timor-Leste,Timorese,Timorese
Togo,Togolese,Togolese
Tokelau,Tokelauan,Tokelauans
Tonga,Tongan,Tongans
Trinidad and Tobago,Trinidadian,Trinidadians
Trinidad and Tobago,Tobagonian,Tobagonians
Tunisia,Tunisian,Tunisians
Turkey,Turkish,Turks
Türkiye,Turkish,Turks
Turkmenistan,Turkmen,Turkmens
Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islanders
Tuvalu,Tuvaluan,Tuvaluans
Uganda,Ugandan,Ugandans
Ukraine,Ukrainian,Ukrainians
United Arab Emirates,Emirati,Emiratis
UAE,Emirian,Emirians
United Arab Emirates,Emiri,Emiri
United Kingdom,British,Britons
United Kingdom of Great Britain and Northern Ireland,British,Britons
UK,United Kingdom,British people
United States of America,American,Americans
United States of America,United States,Americans
U.S.A,U.S.,Americans
Uruguay,Uruguayan,Uruguayans
Uzbekistan,Uzbekistani,Uzbekistanis
Uzbekistan,Uzbek,Uzbeks
Vanuatu,Ni-Vanuatu,Ni-Vanuatu
Vanuatu,Vanuatuan,Ni-Vanuatu
Vatican City,Vaticanian,Vaticanians[dubious ? discuss]
Venezuela,Venezuelan,Venezuelans
Vietnam,Vietnamese,Vietnamese
British Virgin Islands,British Virgin Island,British Virgin Islanders
United States Virgin Islands,U.S. Virgin Island,U.S. Virgin Islanders
Wales,Welsh,Welshmen
Wales,Welsh,Welshwomen
Wallis and Futuna,Wallis and Futuna,Wallis and Futuna Islanders
Wallis and Futuna,Wallisian,Wallisians
Wallis and Futuna,Futunan,Futunans
Western Sahara,Sahraouian,Sahraouis
Yemen,Yemeni,Yemenis
Zambia,Zambian,Zambians
Zanzibar,Zanzibari,Zanzibaris
Zimbabwe,Zimbabwean,Zimbabweans
